"raceId","Year","circuitId","name","Country","Fastest Time"
6,2009,6,"Circuit de Monaco","Monaco",75.154
211,1997,6,"Circuit de Monaco","Monaco",113.315
130,2002,6,"Circuit de Monaco","Monaco",78.023
885,2013,6,"Circuit de Monaco","Monaco",76.577
95,2004,6,"Circuit de Monaco","Monaco",74.439
178,1999,6,"Circuit de Monaco","Monaco",82.259
114,2003,6,"Circuit de Monaco","Monaco",74.545
76,2005,6,"Circuit de Monaco","Monaco",75.842
23,2008,6,"Circuit de Monaco","Monaco",76.689
147,2001,6,"Circuit de Monaco","Monaco",79.424
164,2000,6,"Circuit de Monaco","Monaco",81.571
1080,2022,6,"Circuit de Monaco","Monaco",74.693
342,2010,6,"Circuit de Monaco","Monaco",75.192
1015,2019,6,"Circuit de Monaco","Monaco",74.279
865,2012,6,"Circuit de Monaco","Monaco",77.296
846,2011,6,"Circuit de Monaco","Monaco",76.234
59,2006,6,"Circuit de Monaco","Monaco",75.143
196,1998,6,"Circuit de Monaco","Monaco",82.948
974,2017,6,"Circuit de Monaco","Monaco",74.82
229,1996,6,"Circuit de Monaco","Monaco",85.205
1056,2021,6,"Circuit de Monaco","Monaco",72.909
994,2018,6,"Circuit de Monaco","Monaco",74.26
40,2007,6,"Circuit de Monaco","Monaco",75.284
905,2014,6,"Circuit de Monaco","Monaco",78.479
931,2015,6,"Circuit de Monaco","Monaco",78.063
131,2002,7,"Circuit Gilles Villeneuve","Canada",75.96
1016,2019,7,"Circuit Gilles Villeneuve","Canada",73.078
231,1996,7,"Circuit Gilles Villeneuve","Canada",81.916
61,2006,7,"Circuit Gilles Villeneuve","Canada",75.841
932,2015,7,"Circuit Gilles Villeneuve","Canada",76.987
165,2000,7,"Circuit Gilles Villeneuve","Canada",79.049
115,2003,7,"Circuit Gilles Villeneuve","Canada",76.04
97,2004,7,"Circuit Gilles Villeneuve","Canada",73.622
866,2012,7,"Circuit Gilles Villeneuve","Canada",75.752
847,2011,7,"Circuit Gilles Villeneuve","Canada",76.956
1082,2022,7,"Circuit Gilles Villeneuve","Canada",75.749
995,2018,7,"Circuit Gilles Villeneuve","Canada",73.864
886,2013,7,"Circuit Gilles Villeneuve","Canada",76.182
41,2007,7,"Circuit Gilles Villeneuve","Canada",76.367
78,2005,7,"Circuit Gilles Villeneuve","Canada",74.384
975,2017,7,"Circuit Gilles Villeneuve","Canada",74.551
1106,2023,7,"Circuit Gilles Villeneuve","Canada",74.481
197,1998,7,"Circuit Gilles Villeneuve","Canada",79.379
344,2010,7,"Circuit Gilles Villeneuve","Canada",76.972
24,2008,7,"Circuit Gilles Villeneuve","Canada",77.387
906,2014,7,"Circuit Gilles Villeneuve","Canada",78.504
180,1999,7,"Circuit Gilles Villeneuve","Canada",80.382
954,2016,7,"Circuit Gilles Villeneuve","Canada",75.599
213,1997,7,"Circuit Gilles Villeneuve","Canada",79.635
148,2001,7,"Circuit Gilles Villeneuve","Canada",77.205
232,1996,8,"Circuit de Nevers Magny-Cours","France",78.61
99,2004,8,"Circuit de Nevers Magny-Cours","France",75.377
63,2006,8,"Circuit de Nevers Magny-Cours","France",77.111
166,2000,8,"Circuit de Nevers Magny-Cours","France",79.479
43,2007,8,"Circuit de Nevers Magny-Cours","France",76.099
117,2003,8,"Circuit de Nevers Magny-Cours","France",75.512
80,2005,8,"Circuit de Nevers Magny-Cours","France",76.423
134,2002,8,"Circuit de Nevers Magny-Cours","France",75.045
198,1998,8,"Circuit de Nevers Magny-Cours","France",77.523
181,1999,8,"Circuit de Nevers Magny-Cours","France",79.227
25,2008,8,"Circuit de Nevers Magny-Cours","France",76.63
214,1997,8,"Circuit de Nevers Magny-Cours","France",77.91
150,2001,8,"Circuit de Nevers Magny-Cours","France",76.088
215,1997,9,"Silverstone Circuit","UK",84.475
849,2011,9,"Silverstone Circuit","UK",93.391
26,2008,9,"Silverstone Circuit","UK",92.15
133,2002,9,"Silverstone Circuit","UK",83.083
1061,2021,9,"Silverstone Circuit","UK",88.617
868,2012,9,"Silverstone Circuit","UK",94.608
1034,2020,9,"Silverstone Circuit","UK",87.097
