"circuitId","count","name.x","circuitRef","name.y","location","country","latitude","longitude","alt","url"
"6",69,"Monaco Grand Prix","monaco","Circuit de Monaco","Monte-Carlo","Monaco",43.7347,7.42056,"7","http://en.wikipedia.org/wiki/Circuit_de_Monaco"
"60",1,"United States Grand Prix","riverside","Riverside International Raceway","California","USA",33.937,-117.273,"470","http://en.wikipedia.org/wiki/Riverside_International_Raceway"
"61",1,"German Grand Prix","avus","AVUS","Berlin","Germany",52.4806,13.2514,"53","http://en.wikipedia.org/wiki/AVUS"
"62",1,"Portuguese Grand Prix","monsanto","Monsanto Park Circuit","Lisbon","Portugal",38.7197,-9.20306,"158","http://en.wikipedia.org/wiki/Monsanto_Park_Circuit"
"63",1,"United States Grand Prix","sebring","Sebring International Raceway","Florida","USA",27.4547,-81.3483,"18","http://en.wikipedia.org/wiki/Sebring_Raceway"
"64",1,"Moroccan Grand Prix","ain-diab","Ain Diab","Casablanca","Morocco",33.5786,-7.6875,"19","http://en.wikipedia.org/wiki/Ain-Diab_Circuit"
"65",1,"Pescara Grand Prix","pescara","Pescara Circuit","Pescara","Italy",42.475,14.1508,"129","http://en.wikipedia.org/wiki/Pescara_Circuit"
"66",5,"Swiss Grand Prix","bremgarten","Circuit Bremgarten","Bern","Switzerland",46.9589,7.40194,"551","http://en.wikipedia.org/wiki/Circuit_Bremgarten"
"67",2,"Spanish Grand Prix","pedralbes","Circuit de Pedralbes","Barcelona","Spain",41.3903,2.11667,"85","http://en.wikipedia.org/wiki/Pedralbes_Circuit"
"68",3,"Indian Grand Prix","buddh","Buddh International Circuit","Uttar Pradesh","India",28.3487,77.5331,"194","http://en.wikipedia.org/wiki/Buddh_International_Circuit"
"69",11,"United States Grand Prix","americas","Circuit of the Americas","Austin","USA",30.1328,-97.6411,"161","http://en.wikipedia.org/wiki/Circuit_of_the_Americas"
"7",42,"Canadian Grand Prix","villeneuve","Circuit Gilles Villeneuve","Montreal","Canada",45.5,-73.5228,"13","http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve"
"70",37,"Austrian Grand Prix","red_bull_ring","Red Bull Ring","Spielberg","Austria",47.2197,14.7647,"678","http://en.wikipedia.org/wiki/Red_Bull_Ring"
"70",37,"Styrian Grand Prix","red_bull_ring","Red Bull Ring","Spielberg","Austria",47.2197,14.7647,"678","http://en.wikipedia.org/wiki/Red_Bull_Ring"
"71",8,"Russian Grand Prix","sochi","Sochi Autodrom","Sochi","Russia",43.4057,39.9578,"2","http://en.wikipedia.org/wiki/Sochi_Autodrom"
"73",7,"European Grand Prix","baku","Baku City Circuit","Baku","Azerbaijan",40.3725,49.8533,"-7","http://en.wikipedia.org/wiki/Baku_City_Circuit"
"73",7,"Azerbaijan Grand Prix","baku","Baku City Circuit","Baku","Azerbaijan",40.3725,49.8533,"-7","http://en.wikipedia.org/wiki/Baku_City_Circuit"
"75",2,"Portuguese Grand Prix","portimao","Autódromo Internacional do Algarve","Portimão","Portugal",37.227,-8.6267,"108","http://en.wikipedia.org/wiki/Algarve_International_Circuit"
"76",1,"Tuscan Grand Prix","mugello","Autodromo Internazionale del Mugello","Mugello","Italy",43.9975,11.3719,"255","http://en.wikipedia.org/wiki/Mugello_Circuit"
"77",3,"Saudi Arabian Grand Prix","jeddah","Jeddah Corniche Circuit","Jeddah","Saudi Arabia",21.6319,39.1044,"15","http://en.wikipedia.org/wiki/Jeddah_Street_Circuit"
"78",2,"Qatar Grand Prix","losail","Losail International Circuit","Al Daayen","Qatar",25.49,51.4542,"\N","http://en.wikipedia.org/wiki/Losail_International_Circuit"
"79",2,"Miami Grand Prix","miami","Miami International Autodrome","Miami","USA",25.9581,-80.2389,"\N","http://en.wikipedia.org/wiki/Miami_International_Autodrome"
"8",18,"French Grand Prix","magny_cours","Circuit de Nevers Magny-Cours","Magny Cours","France",46.8642,3.16361,"228","http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours"
"80",1,"Las Vegas Grand Prix","vegas","Las Vegas Strip Street Circuit","Las Vegas","United States",36.1147,-115.173,"\N","https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit"
"9",58,"British Grand Prix","silverstone","Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,"153","http://en.wikipedia.org/wiki/Silverstone_Circuit"
"9",58,"70th Anniversary Grand Prix","silverstone","Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,"153","http://en.wikipedia.org/wiki/Silverstone_Circuit"
